"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  2.04.045",46,1.8641,0.4894,3.5,3.81,0.4336,3.2947,0.0236,"PI.413153"
"IsolateID  2.04.085",47,1.2339,0.4894,3.5,2.52,-0.1967,2.6644,0.0733,"PI.413153"
"IsolateID  2.04.095",48,1.1309,0.4895,3.5,2.31,-0.2995,2.5614,0.0904,"PI.413153"
"IsolateID  2.04.115",49,1.9277,0.4895,3.5,3.94,0.4972,3.3581,0.0214,"PI.413153"
"IsolateID  2.04.125",50,1.4136,0.4895,3.5,2.89,-0.0168,2.844,0.0516,"PI.413153"
"IsolateID  2.04.145",51,1.3646,0.4897,3.6,2.79,-0.0654,2.7946,0.0566,"PI.413153"
"IsolateID  2.04.175",52,1.5488,0.4892,3.5,3.17,0.1178,2.9799,0.0403,"PI.413153"
"IsolateID  2.04.185",53,1.681,0.4895,3.5,3.43,0.2505,3.1114,0.032,"PI.413153"
"IsolateID  2.04.205",54,1.8393,0.5026,3.9,3.66,0.4356,3.243,0.0221,"PI.413153"
"IsolateID  2.04.215",55,1.4002,0.4897,3.6,2.86,-0.0297,2.8302,0.0529,"PI.413153"
"IsolateID  20045",56,1.4114,0.4896,3.6,2.88,-0.0186,2.8415,0.0518,"PI.413153"
"IsolateID  94.15",57,1.9409,0.4894,3.5,3.97,0.5103,3.3714,0.021,"PI.413153"
"IsolateID  94.45",58,0.8993,0.4895,3.5,1.84,-0.531,2.3296,0.1491,"PI.413153"
"IsolateID  Acacia5",59,1.2652,0.4897,3.6,2.58,-0.1648,2.6953,0.0688,"PI.413153"
"IsolateID  Apple4045",60,2.202,0.4894,3.5,4.5,0.7715,3.6325,0.0142,"PI.413153"
"IsolateID  Apple5175",61,1.407,0.4895,3.5,2.87,-0.0235,2.8374,0.0523,"PI.413153"
"IsolateID  Ausubel5",62,1.4292,0.4894,3.5,2.92,-0.0014,2.8598,0.0501,"PI.413153"
"IsolateID  B05.105",63,1.301,0.4895,3.5,2.66,-0.1294,2.7314,0.0641,"PI.413153"
"IsolateID  BMM5",64,1.6785,0.4895,3.5,3.43,0.2482,3.1089,0.0321,"PI.413153"
"IsolateID  BPA15",65,2.1167,0.4896,3.5,4.32,0.6864,3.547,0.0161,"PI.413153"
"IsolateID  DavisNavel5",66,0.3943,0.4896,3.5,0.81,-1.0358,1.8244,0.4711,"PI.413153"
"IsolateID  EsparatoFresa5",67,0.7281,0.4897,3.6,1.49,-0.702,2.1581,0.2199,"PI.413153"
"IsolateID  Fd15",68,1.4673,0.4894,3.5,3,0.0367,2.8979,0.0467,"PI.413153"
"IsolateID  Fd25",69,1.9157,0.4898,3.6,3.91,0.4862,3.3453,0.0217,"PI.413153"
"IsolateID  Fresa5255",70,1.6465,0.4897,3.6,3.36,0.2165,3.0764,0.0339,"PI.413153"
"IsolateID  FresaSD5",71,0.9764,0.4896,3.5,1.99,-0.4538,2.4067,0.1258,"PI.413153"
"IsolateID  Gallo15",72,1.4831,0.4894,3.5,3.03,0.0525,2.9136,0.0454,"PI.413153"
"IsolateID  Gallo25",73,1.649,0.4896,3.5,3.37,0.2188,3.0792,0.0337,"PI.413153"
"IsolateID  Geranium5",74,0.4923,0.4896,3.5,1.01,-0.938,1.9225,0.3782,"PI.413153"
"IsolateID  Grape5",75,1.5569,0.4898,3.6,3.18,0.1272,2.9866,0.0396,"PI.413153"
"IsolateID  KatieTomato5",76,2.0207,0.4897,3.6,4.13,0.5908,3.4507,0.0185,"PI.413153"
"IsolateID  KernA25",77,1.4199,0.4898,3.6,2.9,-0.0097,2.8494,0.0509,"PI.413153"
"IsolateID  KernB15",78,1.732,0.4894,3.5,3.54,0.3014,3.1627,0.0293,"PI.413153"
"IsolateID  KernB25",79,1.6872,0.4894,3.5,3.45,0.2566,3.1179,0.0316,"PI.413153"
"IsolateID  KGB25",80,1.6837,0.4894,3.5,3.44,0.2532,3.1143,0.0318,"PI.413153"
"IsolateID  MEAP6G5",81,1.4938,0.4893,3.5,3.05,0.063,2.9246,0.0445,"PI.413153"
"IsolateID  Mex035",82,1.1354,0.4897,3.6,2.32,-0.2945,2.5653,0.0896,"PI.413153"
"IsolateID  Molly5",83,1.5854,0.4895,3.5,3.24,0.155,3.0159,0.0377,"PI.413153"
"IsolateID  Navel5",84,1.3206,0.4898,3.6,2.7,-0.1092,2.7504,0.0616,"PI.413153"
"IsolateID  NobleRot5",85,0.8242,0.4893,3.5,1.68,-0.6066,2.255,0.1766,"PI.413153"
"IsolateID  Peachy5",86,1.135,0.4894,3.5,2.32,-0.2956,2.5657,0.0897,"PI.413153"
"IsolateID  Pepper5",87,1.7334,0.4895,3.5,3.54,0.3029,3.1639,0.0293,"PI.413153"
"IsolateID  PepperSub5",88,1.3084,0.4894,3.5,2.67,-0.1223,2.7391,0.0632,"PI.413153"
"IsolateID  PhiloMenlo5",89,1.7923,0.4901,3.6,3.66,0.3633,3.2212,0.0264,"PI.413153"
"IsolateID  Rasp5",90,2.3881,0.4893,3.5,4.88,0.9573,3.8188,0.0111,"PI.413153"
"IsolateID  Rose5",91,0.4315,0.4895,3.5,0.88,-0.999,1.862,0.4337,"PI.413153"
"IsolateID  Supersteak5",92,2.1103,0.4896,3.6,4.31,0.6802,3.5404,0.0162,"PI.413153"
"IsolateID  Triple35",93,1.8427,0.4897,3.6,3.76,0.4128,3.2725,0.0244,"PI.413153"
"IsolateID  Triple75",94,0.505,0.4895,3.5,1.03,-0.9253,1.9354,0.3674,"PI.413153"
"IsolateID  UKRazz5",95,2.1432,0.4896,3.5,4.38,0.713,3.5734,0.0155,"PI.413153"
"IsolateID  1.01.016",1,2.3934,0.4452,13.5,5.38,1.4355,3.3514,1e-04,"PI.413153"
"IsolateID  1.01.026",2,2.1464,0.4454,13.6,4.82,1.1881,3.1046,3e-04,"PI.413153"
"IsolateID  1.01.036",3,2.582,0.446,13.6,5.79,1.623,3.541,1e-04,"PI.413153"
"IsolateID  1.01.046",4,2.5588,0.4459,13.6,5.74,1.6,3.5176,1e-04,"PI.413153"
"IsolateID  1.01.066",5,2.5994,0.4455,13.6,5.84,1.6411,3.5577,0,"PI.413153"
"IsolateID  1.01.156",6,2.2786,0.4682,16.5,4.87,1.2884,3.2688,2e-04,"PI.413153"
"IsolateID  1.02.016",7,2.3112,0.4453,13.5,5.19,1.3531,3.2692,2e-04,"PI.413153"
"IsolateID  1.02.026",8,1.7053,0.4454,13.6,3.83,0.7471,2.6635,0.0019,"PI.413153"
"IsolateID  1.02.036",9,2.2307,0.4455,13.6,5.01,1.2723,3.189,2e-04,"PI.413153"
"IsolateID  1.02.046",10,2.7312,0.4458,13.6,6.13,1.7725,3.6899,0,"PI.413153"
"IsolateID  1.02.056",11,3.0502,0.4454,13.6,6.85,2.092,4.0084,0,"PI.413153"
"IsolateID  1.02.066",12,2.5698,0.4458,13.6,5.76,1.611,3.5286,1e-04,"PI.413153"
"IsolateID  1.02.136",13,0.9779,0.4457,13.6,2.19,0.0192,1.9365,0.0462,"PI.413153"
"IsolateID  1.02.156",14,2.6335,0.4456,13.6,5.91,1.6749,3.592,0,"PI.413153"
"IsolateID  1.02.166",15,1.6218,0.4455,13.6,3.64,0.6634,2.5803,0.0028,"PI.413153"
"IsolateID  1.02.176",16,2.2549,0.4458,13.6,5.06,1.2961,3.2136,2e-04,"PI.413153"
"IsolateID  1.02.186",17,-0.0485,0.4458,13.6,-0.11,-1.0072,0.9103,0.915,"PI.413153"
"IsolateID  1.02.206",18,2.1161,0.4454,13.6,4.75,1.1578,3.0743,3e-04,"PI.413153"
"IsolateID  1.03.026",19,2.357,0.4456,13.6,5.29,1.3986,3.3155,1e-04,"PI.413153"
"IsolateID  1.03.046",20,2.0405,0.4454,13.6,4.58,1.0823,2.9987,5e-04,"PI.413153"
"IsolateID  1.03.126",21,1.7412,0.4456,13.6,3.91,0.7827,2.6996,0.0017,"PI.413153"
"IsolateID  1.03.166",22,2.1461,0.4457,13.6,4.81,1.1874,3.1047,3e-04,"PI.413153"
"IsolateID  1.03.186",23,2.1298,0.4453,13.5,4.78,1.1717,3.0878,3e-04,"PI.413153"
"IsolateID  1.03.196",24,2.1895,0.4455,13.6,4.91,1.2311,3.148,2e-04,"PI.413153"
"IsolateID  1.03.206",25,0.1831,0.4459,13.6,0.41,-0.7758,1.1419,0.6878,"PI.413153"
"IsolateID  1.03.226",26,1.8801,0.4455,13.6,4.22,0.9218,2.8385,9e-04,"PI.413153"
"IsolateID  1.03.236",27,2.227,0.4454,13.6,5,1.2687,3.1853,2e-04,"PI.413153"
"IsolateID  1.04.016",28,2.4738,0.4459,13.6,5.55,1.515,3.4327,1e-04,"PI.413153"
"IsolateID  1.04.026",29,1.0571,0.4453,13.6,2.37,0.099,2.0152,0.033,"PI.413153"
"IsolateID  1.04.036",30,2.3844,0.4454,13.6,5.35,1.4261,3.3426,1e-04,"PI.413153"
"IsolateID  1.04.046",31,2.7337,0.4454,13.6,6.14,1.7755,3.6919,0,"PI.413153"
"IsolateID  1.04.056",32,2.2198,0.4455,13.6,4.98,1.2614,3.1782,2e-04,"PI.413153"
"IsolateID  1.04.126",33,2.1376,0.4453,13.5,4.8,1.1795,3.0958,3e-04,"PI.413153"
"IsolateID  1.04.156",34,1.8191,0.4455,13.6,4.08,0.8607,2.7774,0.0012,"PI.413153"
"IsolateID  1.04.176",35,1.4475,0.4455,13.6,3.25,0.4891,2.406,0.006,"PI.413153"
"IsolateID  1.04.196",36,2.3039,0.4459,13.6,5.17,1.3451,3.2628,2e-04,"PI.413153"
"IsolateID  1.04.206",37,1.4142,0.4459,13.6,3.17,0.4553,2.3731,0.007,"PI.413153"
"IsolateID  1.04.216",38,1.6302,0.446,13.6,3.66,0.6712,2.5892,0.0027,"PI.413153"
"IsolateID  1.04.256",39,2.0679,0.4456,13.6,4.64,1.1094,3.0265,4e-04,"PI.413153"
"IsolateID  1.05.116",40,2.2091,0.4454,13.6,4.96,1.2508,3.1674,2e-04,"PI.413153"
"IsolateID  1.05.146",41,2.4698,0.4457,13.6,5.54,1.5112,3.4285,1e-04,"PI.413153"
"IsolateID  1.05.176",42,1.9411,0.4458,13.6,4.35,0.9824,2.8999,7e-04,"PI.413153"
"IsolateID  1.05.226",43,2.3206,0.4455,13.6,5.21,1.3623,3.2789,1e-04,"PI.413153"
"IsolateID  1.05.246",44,2.7668,0.4456,13.6,6.21,1.8084,3.7253,0,"PI.413153"
"IsolateID  2.04.036",45,2.4833,0.4458,13.6,5.57,1.5245,3.442,1e-04,"PI.413153"
"IsolateID  2.04.046",46,2.6791,0.4453,13.5,6.02,1.721,3.6372,0,"PI.413153"
"IsolateID  2.04.086",47,2.6468,0.4454,13.6,5.94,1.6887,3.605,0,"PI.413153"
"IsolateID  2.04.096",48,2.2322,0.4454,13.6,5.01,1.274,3.1905,2e-04,"PI.413153"
"IsolateID  2.04.116",49,2.5565,0.4454,13.6,5.74,1.5982,3.5148,1e-04,"PI.413153"
"IsolateID  2.04.126",50,3.0331,0.4455,13.6,6.81,2.0747,3.9915,0,"PI.413153"
"IsolateID  2.04.146",51,2.0983,0.4458,13.6,4.71,1.1396,3.057,4e-04,"PI.413153"
"IsolateID  2.04.176",52,2.3336,0.445,13.5,5.24,1.3759,3.2913,1e-04,"PI.413153"
"IsolateID  2.04.186",53,2.4667,0.4454,13.6,5.54,1.5084,3.425,1e-04,"PI.413153"
"IsolateID  2.04.206",54,2.8729,0.4679,16.5,6.14,1.8832,3.8627,0,"PI.413153"
"IsolateID  2.04.216",55,2.0405,0.4458,13.6,4.58,1.0817,2.9993,5e-04,"PI.413153"
"IsolateID  20046",56,2.4464,0.4457,13.6,5.49,1.4877,3.405,1e-04,"PI.413153"
"IsolateID  94.16",57,3.2515,0.4454,13.6,7.3,2.2934,4.2097,0,"PI.413153"
"IsolateID  94.46",58,1.5021,0.4456,13.6,3.37,0.5436,2.4605,0.0047,"PI.413153"
"IsolateID  Acacia6",59,1.8172,0.4457,13.6,4.08,0.8586,2.7759,0.0012,"PI.413153"
"IsolateID  Apple4046",60,2.437,0.4454,13.6,5.47,1.4788,3.3952,1e-04,"PI.413153"
"IsolateID  Apple5176",61,2.1198,0.4455,13.6,4.76,1.1615,3.0781,3e-04,"PI.413153"
"IsolateID  Ausubel6",62,1.5338,0.4453,13.5,3.44,0.5757,2.4919,0.0041,"PI.413153"
"IsolateID  B05.106",63,0.8955,0.4455,13.6,2.01,-0.0629,1.8538,0.0647,"PI.413153"
"IsolateID  BMM6",64,2.606,0.4455,13.6,5.85,1.6477,3.5644,0,"PI.413153"
"IsolateID  BPA16",65,2.792,0.4456,13.6,6.27,1.8335,3.7504,0,"PI.413153"
"IsolateID  DavisNavel6",66,0.0762,0.4457,13.6,0.17,-0.8824,1.0347,0.8668,"PI.413153"
"IsolateID  EsparatoFresa6",67,1.0697,0.4458,13.6,2.4,0.1109,2.0284,0.0314,"PI.413153"
"IsolateID  Fd16",68,3.5358,0.4454,13.6,7.94,2.5776,4.4939,0,"PI.413153"
"IsolateID  Fd26",69,2.0267,0.446,13.6,4.54,1.0676,2.9858,5e-04,"PI.413153"
"IsolateID  Fresa5256",70,2.6595,0.4458,13.6,5.97,1.7008,3.6183,0,"PI.413153"
"IsolateID  FresaSD6",71,1.8528,0.4456,13.6,4.16,0.8943,2.8112,0.001,"PI.413153"
"IsolateID  Gallo16",72,0.669,0.4454,13.6,1.5,-0.2892,1.6272,0.156,"PI.413153"
"IsolateID  Gallo26",73,2.2688,0.4456,13.6,5.09,1.3103,3.2273,2e-04,"PI.413153"
"IsolateID  Geranium6",74,1.0291,0.4456,13.6,2.31,0.0706,1.9876,0.0372,"PI.413153"
"IsolateID  Grape6",75,1.6728,0.446,13.6,3.75,0.7138,2.6319,0.0022,"PI.413153"
"IsolateID  KatieTomato6",76,2.8159,0.4458,13.6,6.32,1.8571,3.7747,0,"PI.413153"
"IsolateID  KernA26",77,2.1729,0.4461,13.6,4.87,1.2138,3.132,3e-04,"PI.413153"
"IsolateID  KernB16",78,2.3629,0.4453,13.6,5.31,1.4048,3.3211,1e-04,"PI.413153"
"IsolateID  KernB26",79,2.6209,0.4453,13.6,5.89,1.6627,3.579,0,"PI.413153"
"IsolateID  KGB26",80,2.6096,0.4453,13.6,5.86,1.6515,3.5678,0,"PI.413153"
"IsolateID  MEAP6G6",81,2.0039,0.4452,13.5,4.5,1.046,2.9619,5e-04,"PI.413153"
"IsolateID  Mex036",82,2.0536,0.4458,13.6,4.61,1.0948,3.0124,4e-04,"PI.413153"
"IsolateID  Molly6",83,2.9584,0.4454,13.6,6.64,2.0001,3.9166,0,"PI.413153"
"IsolateID  Navel6",84,2.2732,0.4459,13.6,5.1,1.3143,3.2322,2e-04,"PI.413153"
"IsolateID  NobleRot6",85,1.3281,0.4452,13.5,2.98,0.3702,2.2861,0.0102,"PI.413153"
"IsolateID  Peachy6",86,2.7597,0.4453,13.5,6.2,1.8016,3.7178,0,"PI.413153"
"IsolateID  Pepper6",87,2.1085,0.4454,13.6,4.73,1.1503,3.0668,3e-04,"PI.413153"
"IsolateID  PepperSub6",88,2.1191,0.4453,13.5,4.76,1.1611,3.0772,3e-04,"PI.413153"
"IsolateID  PhiloMenlo6",89,2.6413,0.4466,13.7,5.91,1.6816,3.6011,0,"PI.413153"
"IsolateID  Rasp6",90,3.0492,0.4453,13.5,6.85,2.0912,4.0072,0,"PI.413153"
"IsolateID  Rose6",91,1.6355,0.4454,13.6,3.67,0.6773,2.5938,0.0026,"PI.413153"
"IsolateID  Supersteak6",92,2.8557,0.4457,13.6,6.41,1.897,3.8143,0,"PI.413153"
"IsolateID  Triple36",93,2.4781,0.4459,13.6,5.56,1.5192,3.4369,1e-04,"PI.413153"
"IsolateID  Triple76",94,0.5131,0.4455,13.6,1.15,-0.4453,1.4715,0.2693,"PI.413153"
"IsolateID  UKRazz6",95,3.6037,0.4457,13.6,8.09,2.6451,4.5622,0,"PI.413153"
"IsolateID  1.01.017",1,2.1514,0.5079,2.3,4.24,0.2118,4.0909,0.0403,"PI.413153"
"IsolateID  1.01.027",2,1.9465,0.508,2.3,3.83,0.0076,3.8854,0.0496,"PI.413153"
"IsolateID  1.01.037",3,2.0008,0.5083,2.3,3.94,0.065,3.9367,0.0467,"PI.413153"
"IsolateID  1.01.047",4,2.0616,0.5083,2.3,4.06,0.1253,3.9978,0.0439,"PI.413153"
"IsolateID  1.01.067",5,2.3359,0.5223,2.6,4.47,0.5009,4.1708,0.0289,"PI.413153"
"IsolateID  1.01.157",6,1.6578,0.5083,2.3,3.26,-0.2785,3.594,0.0684,"PI.413153"
"IsolateID  1.02.017",7,1.9661,0.508,2.3,3.87,0.0272,3.905,0.0486,"PI.413153"
"IsolateID  1.02.027",8,1.7169,0.508,2.3,3.38,-0.2213,3.6552,0.0639,"PI.413153"
"IsolateID  1.02.037",9,1.7143,0.508,2.3,3.37,-0.2241,3.6526,0.0641,"PI.413153"
"IsolateID  1.02.047",10,1.7773,0.5081,2.3,3.5,-0.1603,3.7149,0.0596,"PI.413153"
"IsolateID  1.02.057",11,1.9179,0.508,2.3,3.78,-0.0205,3.8562,0.0511,"PI.413153"
"IsolateID  1.02.067",12,1.942,0.5082,2.3,3.82,0.0053,3.8787,0.0497,"PI.413153"
"IsolateID  1.02.137",13,0.705,0.5224,2.6,1.35,-1.1294,2.5394,0.2839,"PI.413153"
"IsolateID  1.02.157",14,1.6833,0.5081,2.3,3.31,-0.2542,3.6209,0.0664,"PI.413153"
"IsolateID  1.02.167",15,0.954,0.5081,2.3,1.88,-0.9839,2.8918,0.1847,"PI.413153"
"IsolateID  1.02.177",16,1.7387,0.5083,2.3,3.42,-0.1977,3.6751,0.0622,"PI.413153"
"IsolateID  1.02.187",17,0.0591,0.5082,2.3,0.12,-1.8781,1.9964,0.9168,"PI.413153"
"IsolateID  1.02.207",18,1.8909,0.5223,2.6,3.62,0.0556,3.7261,0.0468,"PI.413153"
"IsolateID  1.03.027",19,1.9925,0.5081,2.3,3.92,0.0548,3.9301,0.0472,"PI.413153"
"IsolateID  1.03.047",20,1.5778,0.508,2.3,3.11,-0.3609,3.5166,0.0755,"PI.413153"
"IsolateID  1.03.127",21,1.6395,0.5081,2.3,3.23,-0.2983,3.5773,0.07,"PI.413153"
"IsolateID  1.03.167",22,1.5294,0.5082,2.3,3.01,-0.4074,3.4662,0.0801,"PI.413153"
"IsolateID  1.03.187",23,2.2902,0.508,2.3,4.51,0.3513,4.2292,0.0353,"PI.413153"
"IsolateID  1.03.197",24,1.4278,0.5081,2.3,2.81,-0.5102,3.3659,0.0915,"PI.413153"
"IsolateID  1.03.207",25,0.1064,0.5082,2.3,0.21,-1.8303,2.043,0.8514,"PI.413153"
"IsolateID  1.03.227",26,1.45,0.508,2.3,2.85,-0.4886,3.3887,0.0889,"PI.413153"
"IsolateID  1.03.237",27,2.1556,0.508,2.3,4.24,0.2171,4.0941,0.0401,"PI.413153"
"IsolateID  1.04.017",28,1.6104,0.5083,2.3,3.17,-0.326,3.5468,0.0724,"PI.413153"
"IsolateID  1.04.027",29,1.0679,0.508,2.3,2.1,-0.871,3.0068,0.1538,"PI.413153"
"IsolateID  1.04.037",30,1.9379,0.508,2.3,3.81,-4e-04,3.8763,0.05,"PI.413153"
"IsolateID  1.04.047",31,1.6694,0.5079,2.3,3.29,-0.2697,3.6085,0.0676,"PI.413153"
"IsolateID  1.04.057",32,1.6527,0.5081,2.3,3.25,-0.285,3.5904,0.0689,"PI.413153"
"IsolateID  1.04.127",33,1.4114,0.5223,2.6,2.7,-0.4238,3.2467,0.0874,"PI.413153"
"IsolateID  1.04.157",34,1.4212,0.5081,2.3,2.8,-0.5165,3.3589,0.0923,"PI.413153"
"IsolateID  1.04.177",35,2.4125,0.5225,2.6,4.62,0.5784,4.2466,0.0267,"PI.413153"
"IsolateID  1.04.197",36,1.6895,0.5083,2.3,3.32,-0.2469,3.6259,0.0659,"PI.413153"
"IsolateID  1.04.207",37,1.2334,0.5083,2.3,2.43,-0.7026,3.1694,0.1197,"PI.413153"
"IsolateID  1.04.217",38,0.7722,0.5083,2.3,1.52,-1.1639,2.7082,0.2522,"PI.413153"
"IsolateID  1.04.257",39,2.135,0.5081,2.3,4.2,0.1972,4.0728,0.0409,"PI.413153"
"IsolateID  1.05.117",40,2.0318,0.508,2.3,4,0.0932,3.9705,0.0454,"PI.413153"
"IsolateID  1.05.147",41,1.7444,0.5082,2.3,3.43,-0.1924,3.6812,0.0618,"PI.413153"
"IsolateID  1.05.177",42,1.1603,0.5082,2.3,2.28,-0.7764,3.097,0.1333,"PI.413153"
"IsolateID  1.05.227",43,1.7746,0.5079,2.3,3.49,-0.1646,3.7139,0.0599,"PI.413153"
"IsolateID  1.05.247",44,1.9628,0.5082,2.3,3.86,0.0261,3.8994,0.0486,"PI.413153"
"IsolateID  2.04.037",45,1.9557,0.5082,2.3,3.85,0.019,3.8923,0.049,"PI.413153"
"IsolateID  2.04.047",46,2.1972,0.5221,2.6,4.21,0.361,4.0335,0.0333,"PI.413153"
"IsolateID  2.04.087",47,2.1595,0.508,2.3,4.25,0.2207,4.0982,0.04,"PI.413153"
"IsolateID  2.04.097",48,2.2676,0.5079,2.3,4.46,0.3285,4.2066,0.0361,"PI.413153"
"IsolateID  2.04.117",49,1.8217,0.508,2.3,3.59,-0.1173,3.7606,0.0568,"PI.413153"
"IsolateID  2.04.127",50,2.0936,0.5081,2.3,4.12,0.1556,4.0315,0.0426,"PI.413153"
"IsolateID  2.04.147",51,1.8878,0.5083,2.3,3.71,-0.0485,3.8242,0.0527,"PI.413153"
"IsolateID  2.04.177",52,1.6937,0.5078,2.3,3.33,-0.2462,3.6335,0.0658,"PI.413153"
"IsolateID  2.04.187",53,1.9764,0.508,2.3,3.89,0.0382,3.9146,0.048,"PI.413153"
"IsolateID  2.04.207",54,1.5638,0.508,2.3,3.08,-0.3747,3.5023,0.0768,"PI.413153"
"IsolateID  2.04.217",55,1.8373,0.5083,2.3,3.61,-0.0988,3.7735,0.0556,"PI.413153"
"IsolateID  20047",56,1.683,0.5082,2.3,3.31,-0.254,3.62,0.0664,"PI.413153"
"IsolateID  94.17",57,1.9914,0.508,2.3,3.92,0.0527,3.9301,0.0473,"PI.413153"
"IsolateID  94.47",58,0.6416,0.5081,2.3,1.26,-1.296,2.5791,0.3198,"PI.413153"
"IsolateID  Acacia7",59,1.7632,0.5082,2.3,3.47,-0.174,3.7004,0.0605,"PI.413153"
"IsolateID  Apple4047",60,2.4988,0.5079,2.3,4.92,0.5597,4.4379,0.0294,"PI.413153"
"IsolateID  Apple5177",61,2.0724,0.5081,2.3,4.08,0.1344,4.0105,0.0435,"PI.413153"
"IsolateID  Ausubel7",62,1.4129,0.5079,2.3,2.78,-0.5268,3.3526,0.0934,"PI.413153"
"IsolateID  B05.107",63,0.8266,0.508,2.3,1.63,-1.112,2.7652,0.2292,"PI.413153"
"IsolateID  BMM7",64,1.7133,0.508,2.3,3.37,-0.2251,3.6517,0.0642,"PI.413153"
"IsolateID  BPA17",65,2.1498,0.5081,2.3,4.23,0.212,4.0877,0.0403,"PI.413153"
"IsolateID  DavisNavel7",66,0.4177,0.5082,2.3,0.82,-1.5195,2.3549,0.4877,"PI.413153"
"IsolateID  EsparatoFresa7",67,0.5564,0.5083,2.3,1.09,-1.3798,2.4927,0.375,"PI.413153"
"IsolateID  Fd17",68,2.5304,0.5224,2.6,4.84,0.6957,4.3651,0.0239,"PI.413153"
"IsolateID  Fd27",69,1.8682,0.5083,2.3,3.68,-0.0676,3.8039,0.0538,"PI.413153"
"IsolateID  Fresa5257",70,2.3133,0.5225,2.6,4.43,0.4798,4.1469,0.0294,"PI.413153"
"IsolateID  FresaSD7",71,1.396,0.5224,2.6,2.67,-0.4385,3.2304,0.0893,"PI.413153"
"IsolateID  Gallo17",72,0.9563,0.508,2.3,1.88,-0.9821,2.8946,0.184,"PI.413153"
"IsolateID  Gallo27",73,1.701,0.508,2.3,3.35,-0.2375,3.6395,0.0651,"PI.413153"
"IsolateID  Geranium7",74,0.5775,0.5223,2.6,1.11,-1.2577,2.4127,0.3618,"PI.413153"
"IsolateID  Grape7",75,1.2693,0.5083,2.3,2.5,-0.6667,3.2054,0.1136,"PI.413153"
"IsolateID  KatieTomato7",76,2.3918,0.5082,2.3,4.71,0.4552,4.3283,0.0321,"PI.413153"
"IsolateID  KernA27",77,1.843,0.5226,2.6,3.53,0.0099,3.676,0.0494,"PI.413153"
"IsolateID  KernB17",78,1.6202,0.508,2.3,3.19,-0.3187,3.5591,0.0717,"PI.413153"
"IsolateID  KernB27",79,2.7899,0.508,2.3,5.49,0.8512,4.7287,0.0232,"PI.413153"
"IsolateID  KGB27",80,1.9508,0.508,2.3,3.84,0.0118,3.8897,0.0494,"PI.413153"
"IsolateID  MEAP6G7",81,1.5877,0.5079,2.3,3.13,-0.3519,3.5274,0.0747,"PI.413153"
"IsolateID  Mex037",82,1.4409,0.5082,2.3,2.84,-0.4963,3.3781,0.0899,"PI.413153"
"IsolateID  Molly7",83,2.099,0.508,2.3,4.13,0.1605,4.0374,0.0424,"PI.413153"
"IsolateID  Navel7",84,2.1711,0.5226,2.6,4.15,0.3376,4.0046,0.0341,"PI.413153"
"IsolateID  NobleRot7",85,0.8352,0.5079,2.3,1.64,-1.1042,2.7746,0.2258,"PI.413153"
"IsolateID  Peachy7",86,1.7861,0.5079,2.3,3.52,-0.153,3.7251,0.0591,"PI.413153"
"IsolateID  Pepper7",87,1.8287,0.5081,2.3,3.6,-0.1092,3.7667,0.0563,"PI.413153"
"IsolateID  PepperSub7",88,1.8735,0.508,2.3,3.69,-0.0653,3.8123,0.0536,"PI.413153"
"IsolateID  PhiloMenlo7",89,1.3027,0.5086,2.3,2.56,-0.6308,3.2362,0.1082,"PI.413153"
"IsolateID  Rasp7",90,2.5155,0.508,2.3,4.95,0.5767,4.4543,0.0289,"PI.413153"
"IsolateID  Rose7",91,1.0677,0.5081,2.3,2.1,-0.8699,3.0054,0.1537,"PI.413153"
"IsolateID  Supersteak7",92,2.3157,0.5082,2.3,4.56,0.3787,4.2527,0.0344,"PI.413153"
"IsolateID  Triple37",93,1.8929,0.5083,2.3,3.72,-0.043,3.8289,0.0524,"PI.413153"
"IsolateID  Triple77",94,0.1553,0.5081,2.3,0.31,-1.7826,2.0931,0.7855,"PI.413153"
"IsolateID  UKRazz7",95,2.5006,0.5082,2.3,4.92,0.5637,4.4375,0.0292,"PI.413153"
"IsolateID  1.01.018",1,1.9038,0.5255,3.9,3.62,0.4254,3.3822,0.0236,"PI.413153"
"IsolateID  1.01.028",2,1.7098,0.5256,3.9,3.25,0.2316,3.188,0.0328,"PI.413153"
"IsolateID  1.01.038",3,1.6125,0.5259,3.9,3.07,0.1349,3.0902,0.0389,"PI.413153"
"IsolateID  1.01.048",4,1.6086,0.5259,3.9,3.06,0.1308,3.0863,0.0392,"PI.413153"
"IsolateID  1.01.068",5,1.4921,0.5257,3.9,2.84,0.0139,2.9702,0.0487,"PI.413153"
"IsolateID  1.01.158",6,1.2331,0.5426,4.4,2.27,-0.2211,2.6873,0.0795,"PI.413153"
"IsolateID  1.02.018",7,1.8596,0.5256,3.9,3.54,0.3813,3.3379,0.0254,"PI.413153"
"IsolateID  1.02.028",8,1.3193,0.5256,3.9,2.51,-0.1589,2.7975,0.0681,"PI.413153"
"IsolateID  1.02.038",9,1.1649,0.5257,3.9,2.22,-0.3132,2.6431,0.0932,"PI.413153"
"IsolateID  1.02.048",10,1.8968,0.5258,3.9,3.61,0.419,3.3746,0.0238,"PI.413153"
"IsolateID  1.02.058",11,2.1273,0.5256,3.9,4.05,0.6491,3.6055,0.0165,"PI.413153"
