"","IsolateID","Estimate","Standard Error","DF","t-value","Lower CI","Upper CI","p-value","Plant"
"IsolateID  Fd111",68,2.6059,0.6527,1.6,3.99,-0.9739,6.1857,0.0812,"PI.413153"
"IsolateID  Fd211",69,1.7995,0.6529,1.6,2.76,-1.7742,5.3732,0.139,"PI.413153"
"IsolateID  Fresa52511",70,2.0629,0.6528,1.6,3.16,-1.513,5.6388,0.1144,"PI.413153"
"IsolateID  FresaSD11",71,1.8017,0.6527,1.6,2.76,-1.7768,5.3802,0.1389,"PI.413153"
"IsolateID  Gallo111",72,1.0814,0.6527,1.6,1.66,-2.4982,4.661,0.2684,"PI.413153"
"IsolateID  Gallo211",73,1.8027,0.6527,1.6,2.76,-1.7768,5.3823,0.1388,"PI.413153"
"IsolateID  Geranium11",74,0.6205,0.6527,1.6,0.95,-2.9593,4.2004,0.4623,"PI.413153"
"IsolateID  Grape11",75,1.4651,0.6529,1.6,2.24,-2.1092,5.0395,0.1839,"PI.413153"
"IsolateID  KatieTomato11",76,1.4608,0.6529,1.6,2.24,-2.1149,5.0365,0.1847,"PI.413153"
"IsolateID  KernA211",77,1.6896,0.653,1.6,2.59,-1.8832,5.2624,0.1517,"PI.413153"
"IsolateID  KernB111",78,1.8986,0.6526,1.6,2.91,-1.682,5.4792,0.129,"PI.413153"
"IsolateID  KernB211",79,2.4199,0.6527,1.6,3.71,-1.1602,6,0.0907,"PI.413153"
"IsolateID  KGB211",80,2.2861,0.6526,1.6,3.5,-1.2944,5.8667,0.0986,"PI.413153"
"IsolateID  MEAP6G11",81,1.4418,0.6526,1.6,2.21,-2.1403,5.0239,0.188,"PI.413153"
"IsolateID  Mex0311",82,1.5057,0.6528,1.6,2.31,-2.0711,5.0824,0.1775,"PI.413153"
"IsolateID  Molly11",83,1.8013,0.6527,1.6,2.76,-1.7785,5.3811,0.1389,"PI.413153"
"IsolateID  Navel11",84,2.0303,0.6529,1.6,3.11,-1.5455,5.6061,0.1171,"PI.413153"
"IsolateID  NobleRot11",85,1.1275,0.6526,1.6,1.73,-2.4543,4.7092,0.2557,"PI.413153"
"IsolateID  Peachy11",86,1.9933,0.6526,1.6,3.05,-1.5878,5.5744,0.1204,"PI.413153"
"IsolateID  Pepper11",87,1.4645,0.6527,1.6,2.24,-2.115,5.044,0.1842,"PI.413153"
"IsolateID  PepperSub11",88,1.9668,0.6526,1.6,3.01,-1.6136,5.5472,0.1227,"PI.413153"
"IsolateID  PhiloMenlo11",89,1.2703,0.6531,1.6,1.94,-2.2992,4.8397,0.2209,"PI.413153"
"IsolateID  Rasp11",90,2.421,0.6526,1.6,3.71,-1.1596,6.0016,0.0906,"PI.413153"
"IsolateID  Rose11",91,0.7893,0.6527,1.6,1.21,-2.7899,4.3684,0.3747,"PI.413153"
"IsolateID  Supersteak11",92,2.3682,0.6528,1.6,3.63,-1.2088,5.9453,0.0935,"PI.413153"
"IsolateID  Triple311",93,1.6369,0.6529,1.6,2.51,-1.9377,5.2115,0.1585,"PI.413153"
"IsolateID  Triple711",94,0.2968,0.6527,1.6,0.45,-3.2817,3.8754,0.7031,"PI.413153"
"IsolateID  UKRazz11",95,1.7572,0.6528,1.6,2.69,-1.8198,5.3343,0.1438,"PI.413153"
